id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,08.04,Livrée
CMD100002,2025-07-08,C0119,Abidjan,electronique,Produit_Électronique_36,315.6,0,0.04,5.6,Carte,Google Ads,7.3,Livrée
CMD100003,2025-08-20,C1436,Libreville,electronique,Produit_Électronique_29,143.25,0,0.03,5.96,Mobile Money,Google Ads,5.2,Livrée
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,-0.1,3.59,Virement,Instagram Ads,9.23,Livrée
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,04.05,Carte,Email,1.77,Livrée
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée
CMD100011,2025-09-29,C0136,Cotonou,electronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,Livrée
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,Livrée
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,retournée
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,Livrée
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,Livrée
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,Livrée
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,Livrée
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,Livrée
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,Livrée
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,Livrée
CMD100022,2025-12-12,C0150,Lomé,electronique,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,Livrée
CMD100023,2025-09-06,C1560,Kinshassa,Électronique,Produit_Électronique_41,370.82,3,-0.1,2.56,Carte,Instagram Ads,8.73,Livrée
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée
CMD100026,2025-09-21,C0057,Kinshassa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée
CMD100028,2025-11-02,C1557,Dakar,electronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée
