id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,indicateur_annulation,nombre_commandes_par_client,valeur_vie_client
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée,138.7188,62.42346,58.973459999999996,2025-12,0,0,25,9105.68585
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,Livrée,66.924,36.80820000000001,21.878200000000007,2025-07,0,0,4,562.8648000000001
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée,977.4716,146.62073999999998,140.91073999999998,2025-11,0,0,26,9516.0995
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée,192.159,67.25564999999999,53.17564999999998,2025-10,0,0,17,4690.1957
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.1,3.59,Virement,Instagram Ads,9.23,Livrée,62.208000000000006,27.993600000000004,15.173600000000004,2025-07,0,0,16,3491.1967999999997
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée,67.2864,37.00752000000001,28.33752000000001,2025-10,0,0,21,5931.8199
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,Livrée,133.0845,59.888025,54.068025,2025-12,0,0,3,694.155
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée,1035.46,155.319,140.749,2025-12,0,0,19,3703.8316999999997
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée,833.4417000000001,125.016255,102.286255,2025-10,0,0,15,3435.4505
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée,1350.3300000000002,202.54950000000002,191.98950000000002,2025-09,0,0,12,4025.1734
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,Livrée,77.1144,34.701480000000004,18.701480000000004,2025-12,0,0,21,4220.784500000001
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,Livrée,32.7404,14.73318,5.113180000000002,2025-09,0,0,3,122.13419999999999
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,Retournée,514.818,77.22269999999999,67.88269999999999,2025-09,1,0,4,607.5171
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,Livrée,83.985,37.79325,15.943250000000003,2025-10,0,0,16,5010.4933
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,Livrée,124.7454,56.13543,44.355430000000005,2025-12,0,0,18,2744.1
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,Livrée,393.7206,137.80220999999997,113.26220999999998,2025-09,0,0,3,892.7127
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,Livrée,67.8462,30.53079,21.03079,2025-10,0,0,17,2751.9487999999997
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,Livrée,183.47820000000002,64.21737,43.88737,2025-07,0,0,22,5876.8806
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,Livrée,348.6471,122.026485,109.126485,2025-07,0,0,16,5642.1036
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,Livrée,301.4496,105.50735999999999,98.01736,2025-07,0,0,21,5793.267
CMD100022,2025-12-12,C0150,Lomé,Électronique,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,Livrée,20.387,3.05805,-20.04195,2025-12,0,0,16,4210.5255
CMD100023,2025-09-06,C1560,Kinshasa,Électronique,Produit_Électronique_41,370.82,3,0.1,2.56,Carte,Instagram Ads,8.73,Livrée,1001.214,150.1821,138.8921,2025-09,0,0,5,2062.581
